goal	rule	score
borders(argentina, W)	borders(argentina, paraguay)	1
officialLanguage(myanmar, burmese)	officialLanguage(myanmar, burmese)	1
borders(W, Continent)	borders(benin, niger)	1
cityIn(C, City)	cityIn(lubumbashi, dr_congo)	1
borders(china, W)	borders(china, bhutan)	1
borders(central_african_republic, chad)	borders(central_african_republic, chad)	1
borders(C, Region)	borders(senegal, guinea_bissau)	1
cityIn(City, C)	cityIn(managua, nicaragua)	1
currencyOf(L, C)	currencyOf(canada, cad)	1
currencyOf(L, C)	currencyOf(maldives, rufiyaa)	1
locatedIn(ethiopia, africa)	locatedIn(ethiopia, africa)	1
memberOf(Y, g20)	memberOf(indonesia, g20)	1
borders(L, C)	borders(latvia, belarus)	1
borders(C, Continent)	borders(lithuania, belarus)	1
borders(C, L)	borders(namibia, zambia)	1
cityIn(City, C)	cityIn(luganville, vanuatu)	1
locatedIn(W, asia)	locatedIn(bhutan, asia)	1
borders(albania, V)	borders(albania, montenegro)	1
cityIn(C, vanuatu)	cityIn(luganville, vanuatu)	1
locatedIn(Region, europe)	locatedIn(france, europe)	1
borders(C, City)	borders(senegal, mali)	1
borders(Region, C)	borders(south_africa, zimbabwe)	1
borders(kenya, O)	borders(kenya, uganda)	1
memberOf(W, eu)	memberOf(austria, eu)	1
currencyOf(Continent, euro)	currencyOf(ireland, euro)	1
borders(V, namibia)	borders(angola, namibia)	1
borders(X, R)	borders(brazil, colombia)	1
borders(W, Continent)	borders(peru, bolivia)	1
borders(Region, C)	borders(ghana, togo)	1
locatedIn(W, africa)	locatedIn(ethiopia, africa)	1
sharesBorder(brazil, guyana)	sharesBorder(X, Y) :- borders(X, Y)	1
sharesBorder(V, egypt)	sharesBorder(X, Y) :- borders(X, Y)	1
borders(Continent, W)	borders(south_africa, namibia)	1
sharesBorder(L, india)	sharesBorder(X, Y) :- borders(Y, X)	1
borders(russia, L)	borders(russia, poland)	1
borders(C, greece)	borders(north_macedonia, greece)	1
sharesBorder(uzbekistan, kazakhstan)	sharesBorder(X, Y) :- borders(Y, X)	1
borders(guinea, Neighbor)	borders(guinea, liberia)	1
capitalOf(City, C)	capitalOf(greece, athens)	1
currencyOf(C, City)	currencyOf(north_korea, north_korean_won)	1
currencyOf(C, City)	currencyOf(romania, romanian_leu)	1
borders(X, R)	borders(lebanon, israel)	1
borders(central_african_republic, Country)	borders(central_african_republic, south_sudan)	1
currencyOf(C, Continent)	currencyOf(finland, euro)	1
borders(Country, austria)	borders(liechtenstein, austria)	1
cityIn(R, C)	cityIn(port_louis, mauritius)	1
borders(C, City)	borders(peru, ecuador)	1
locatedIn(eritrea, africa)	locatedIn(eritrea, africa)	1
borders(C, L)	borders(cameroon, central_african_republic)	1
borders(O, C)	borders(nigeria, niger)	1
sharesBorder(hungary, serbia)	sharesBorder(X, Y) :- borders(Y, X)	1
locatedIn(Z, europe)	locatedIn(switzerland, europe)	1
officialLanguage(Z, arabic)	officialLanguage(libya, arabic)	1
currencyOf(C, City)	currencyOf(bangladesh, taka)	1
borders(C, R)	borders(tanzania, rwanda)	1
capitalOf(saint_kitts_and_nevis, O)	capitalOf(saint_kitts_and_nevis, basseterre)	1
locatedIn(Org, C)	locatedIn(south_korea, asia)	1
locatedIn(R, middle_east)	locatedIn(saudi_arabia, middle_east)	1
locatedIn(City, africa)	locatedIn(liberia, africa)	1
borders(C, belarus)	borders(russia, belarus)	1
borders(nigeria, C)	borders(nigeria, benin)	1
sharesBorder(C, honduras)	sharesBorder(X, Y) :- borders(Y, X)	1
borders(R, myanmar)	borders(india, myanmar)	1
memberOf(Org, eu)	memberOf(belgium, eu)	1
officialLanguage(City, C)	officialLanguage(montenegro, montenegrin)	1
borders(C, tajikistan)	borders(china, tajikistan)	1
borders(Country, C)	borders(azerbaijan, georgia)	1
cityIn(R, C)	cityIn(islamabad, pakistan)	1
locatedIn(W, europe)	locatedIn(malta, europe)	1
cityIn(R, C)	cityIn(pyongyang, north_korea)	1
sharesBorder(zimbabwe, W)	sharesBorder(X, Y) :- borders(X, Y)	1
currencyOf(City, C)	currencyOf(pakistan, pakistani_rupee)	1
borders(Continent, belarus)	borders(lithuania, belarus)	1
borders(C, Region)	borders(slovakia, poland)	1
borders(Country, C)	borders(brazil, venezuela)	1
sharesBorder(finland, Neighbor)	sharesBorder(X, Y) :- borders(Y, X)	1
currencyOf(Continent, liberian_dollar)	currencyOf(liberia, liberian_dollar)	1
borders(Org, afghanistan)	borders(china, afghanistan)	1
borders(ethiopia, V)	borders(ethiopia, south_sudan)	1
memberOf(X, C)	memberOf(azerbaijan, cis)	1
sharesBorder(liberia, C)	sharesBorder(X, Y) :- borders(X, Y)	1
borders(Continent, W)	borders(saudi_arabia, kuwait)	1
cityIn(City, C)	cityIn(dhaka, bangladesh)	1
borders(Region, C)	borders(ghana, cote_divoire)	1
borders(C, R)	borders(zimbabwe, namibia)	1
borders(albania, V)	borders(albania, north_macedonia)	1
borders(C, O)	borders(saudi_arabia, iraq)	1
borders(C, Region)	borders(tanzania, burundi)	1
borders(L, afghanistan)	borders(china, afghanistan)	1
cityIn(C, City)	cityIn(sao_tome, sao_tome_and_principe)	1
officialLanguage(L, arabic)	officialLanguage(oman, arabic)	1
memberOf(Z, nato)	memberOf(united_kingdom, nato)	1
locatedIn(R, europe)	locatedIn(denmark, europe)	1
officialLanguage(Z, portuguese)	officialLanguage(portugal, portuguese)	1
borders(spain, L)	borders(spain, portugal)	1
locatedIn(City, africa)	locatedIn(burundi, africa)	1
locatedIn(Z, africa)	locatedIn(dr_congo, africa)	1
locatedIn(Z, asia)	locatedIn(china, asia)	1
borders(C, Region)	borders(serbia, hungary)	1
borders(C, Continent)	borders(angola, namibia)	1
locatedIn(O, south_america)	locatedIn(uruguay, south_america)	1
