query,std reasoner,std nodes explored,std min depth,success,time
1,std,4,3,True,0.003424643000000671
2,std,4,3,True,0.003300348999999869
3,std,124,11,True,0.1658790640000003
4,std,58,8,True,0.03214092899999965
5,std,4,3,True,0.006477725000000767
6,std,4,3,True,0.004078798000000106
7,std,4,3,True,0.004299596000000072
8,std,13,11,True,0.010816864999999787
9,std,4,3,True,7.383900000057508e-05
10,std,4,3,True,0.0016123910000001018
11,std,20259,0,False,2.1307034599999994
12,std,4,3,True,0.001765390000000977
13,std,4,3,True,0.005515931000001473
14,std,10,9,True,0.009027994000000206
15,std,10,8,True,0.008952967000000811
16,std,94452,0,False,1.964449321
17,std,5,4,True,0.0041299230000007014
18,std,13,11,True,0.008002756000001554
19,std,13,11,True,0.002691811000000044
20,std,4,3,True,0.0034188439999986997
21,std,56742,0,False,1.6861484009999987
22,std,13,11,True,0.003494561000000118
23,std,6,5,True,0.0052061099999995974
24,std,12,11,True,0.010478062000000676
25,std,13,11,True,0.003443088999999233
26,std,1335,12,True,0.23851736000000123
27,std,4,3,True,0.013529931999999079
28,std,14,13,True,0.015271473000000313
29,std,4,3,True,0.00240337499999832
30,std,10,8,True,0.007334383999999972
31,std,3,2,True,0.0032894350000010064
32,std,4,3,True,0.0027637830000006858
33,std,13,8,True,0.007903496999999149
34,std,4,3,True,0.0019925359999994896
35,std,4,3,True,0.00882729499999968
36,std,4,3,True,0.00332960599999943
37,std,6,5,True,0.005305025000000185
38,std,496,15,True,0.35580683799999946
39,std,4,3,True,0.004434004000000158
40,std,4,3,True,0.0014734379999996605
41,std,6,5,True,0.005371050999999127
42,std,678,9,True,0.5337728029999997
43,std,13,11,True,0.008738018999999042
44,std,10,8,True,0.016063025999999425
45,std,5,4,True,0.005109174000001104
46,std,4,3,True,0.004006737000000982
47,std,4,3,True,0.0017656160000001364
48,std,9,8,True,0.005514648000000122
49,std,5,4,True,0.00439654900000086
50,std,13,11,True,0.0024640050000002134
51,std,4,3,True,0.0028683230000012827
52,std,498,0,False,0.20125088500000032
53,std,2,1,True,0.0016362270000005452
54,std,395,12,True,0.18481063599999992
55,std,8,7,True,0.007877922999998788
56,std,4,3,True,0.0046552770000012345
57,std,6,5,True,0.0024200440000008427
58,std,8,7,True,0.008536653000000172
59,std,10,8,True,0.008175957000000622
60,std,8,7,True,0.0009475299999994746
61,std,797,13,True,1.0027434950000007
62,std,4,3,True,0.005307438000000886
63,std,17,6,True,0.014850417999999976
64,std,8,7,True,0.005570106999998714
65,std,13,12,True,0.013110158000001704
66,std,5,4,True,0.004000665000001291
67,std,32,7,True,0.03361988099999991
68,std,4,3,True,0.0014422700000000788
69,std,4,3,True,0.013855693000000002
70,std,11,10,True,0.01023025699999991
71,std,1000000,0,False,14.192200301999998
72,std,4,3,True,0.018849759999998383
73,std,4,3,True,0.004434627999998497
74,std,13,11,True,0.005720968999998632
75,std,1118,0,False,0.5506629750000016
76,std,4,3,True,0.0015976610000016933
77,std,10,8,True,0.004366472000000954
78,std,8,7,True,0.010349841000000026
79,std,1144,0,False,0.44966729300000097
80,std,10,8,True,0.00021223099999900796
81,std,13,11,True,0.021062477999997498
82,std,96,7,True,0.0933474820000022
83,std,7,5,True,0.01112035399999911
84,std,1000000,0,False,18.540062786
85,std,7,6,True,0.0055362609999960455
86,std,3099,0,False,0.9739348630000038
87,std,16,15,True,0.0093410410000061
88,std,125,15,True,0.10219314900000143
89,std,4,3,True,0.021938266999995903
90,std,4,3,True,0.0015371260000023312
91,std,6,5,True,0.006192196000000649
92,std,18617,0,False,1.1442526659999999
93,std,2126,0,False,0.317893226999999
94,std,4,3,True,0.02327106999999984
95,std,10,8,True,0.028820066999998062
96,std,567,14,True,0.26586050299999897
97,std,4,3,True,0.022617431000000465
98,std,13,11,True,0.005931563000004303
99,std,132413,0,False,3.4287443970000027
100,std,13,11,True,0.03129958699999946
