goal	rule	score
cityIn(Continent, C)	cityIn(vatican_city, vatican_city)	1
locatedIn(W, africa)	locatedIn(central_african_republic, africa)	1
locatedIn(W, asia)	locatedIn(indonesia, asia)	1
borders(City, C)	borders(ghana, cote_divoire)	1
borders(Region, C)	borders(qatar, united_arab_emirates)	1
borders(C, L)	borders(tanzania, malawi)	1
borders(Neighbor, south_sudan)	borders(uganda, south_sudan)	1
twoBorderTrip(argentina, chile)	twoBorderTrip(X, Z) :- sharesBorder(X, Y), sharesBorder(Y, Z)	1
officialLanguage(L, english)	officialLanguage(sierra_leone, english)	1
capitalOf(City, C)	capitalOf(mozambique, maputo)	1
currencyOf(City, C)	currencyOf(iceland, krona)	1
currencyOf(C, Continent)	currencyOf(chile, chilean_peso)	1
borders(Region, X)	borders(tanzania, zambia)	1
borders(C, Y)	borders(botswana, namibia)	1
borders(C, City)	borders(cote_divoire, guinea)	1
borders(C, Z)	borders(hungary, romania)	1
borders(chad, Country)	borders(chad, sudan)	1
cityIn(C, City)	cityIn(porto_novo, benin)	1
officialLanguage(W, english)	officialLanguage(zambia, english)	1
borders(O, C)	borders(malawi, mozambique)	1
borders(C, Y)	borders(laos, thailand)	1
officialLanguage(City, C)	officialLanguage(united_arab_emirates, arabic)	1
borders(C, City)	borders(timor_leste, indonesia)	1
capitalOf(C, City)	capitalOf(poland, warsaw)	1
currencyOf(R, zambian_kwacha)	currencyOf(zambia, zambian_kwacha)	1
sharesBorder(C, croatia)	sharesBorder(X, Y) :- borders(X, Y)	1
borders(Y, C)	borders(belarus, ukraine)	1
officialLanguage(Z, C)	officialLanguage(indonesia, indonesian)	1
locatedIn(L, middle_east)	locatedIn(israel, middle_east)	1
sharesBorder(Country, saudi_arabia)	sharesBorder(X, Y) :- borders(Y, X)	1
sharesBorder(Y, bulgaria)	sharesBorder(X, Y) :- borders(Y, X)	1
officialLanguage(City, C)	officialLanguage(seychelles, creole)	1
locatedIn(Z, europe)	locatedIn(slovenia, europe)	1
sharesBorder(R, zimbabwe)	sharesBorder(X, Y) :- borders(X, Y)	1
borders(C, Neighbor)	borders(guatemala, el_salvador)	1
currencyOf(Continent, C)	currencyOf(antigua_and_barbuda, eastern_caribbean_dollar)	1
memberOf(Region, Neighbor)	memberOf(croatia, nato)	1
officialLanguage(Org, arabic)	officialLanguage(algeria, arabic)	1
locatedIn(V, C)	locatedIn(south_korea, asia)	1
borders(india, Neighbor)	borders(india, nepal)	1
borders(kenya, Country)	borders(kenya, south_sudan)	1
borders(W, hungary)	borders(austria, hungary)	1
cityIn(Y, slovakia)	cityIn(kosice, slovakia)	1
borders(united_arab_emirates, Neighbor)	borders(united_arab_emirates, oman)	1
borders(C, guinea)	borders(senegal, guinea)	1
memberOf(germany, Country)	memberOf(germany, g20)	1
borders(C, City)	borders(denmark, germany)	1
sharesBorder(W, belarus)	sharesBorder(X, Y) :- borders(Y, X)	1
locatedIn(Country, africa)	locatedIn(botswana, africa)	1
officialLanguage(City, french)	officialLanguage(burkina_faso, french)	1
currencyOf(Z, cfa_franc)	currencyOf(cote_divoire, cfa_franc)	1
borders(Org, poland)	borders(belarus, poland)	1
borders(namibia, X)	borders(namibia, zambia)	1
locatedIn(X, europe)	locatedIn(belgium, europe)	1
locatedIn(L, europe)	locatedIn(hungary, europe)	1
borders(Country, north_macedonia)	borders(albania, north_macedonia)	1
officialLanguage(R, russian)	officialLanguage(russia, russian)	1
sharesBorder(Country, guyana)	sharesBorder(X, Y) :- borders(X, Y)	1
locatedIn(C, oceania)	locatedIn(new_zealand, oceania)	1
borders(Y, afghanistan)	borders(uzbekistan, afghanistan)	1
locatedIn(W, europe)	locatedIn(sweden, europe)	1
locatedIn(W, north_america)	locatedIn(belize, north_america)	1
borders(C, City)	borders(myanmar, thailand)	1
borders(moldova, Country)	borders(moldova, romania)	1
locatedIn(C, City)	locatedIn(cameroon, africa)	1
borders(north_macedonia, Country)	borders(north_macedonia, bulgaria)	1
cityIn(Y, bangladesh)	cityIn(dhaka, bangladesh)	1
borders(Z, Y)	borders(lebanon, israel)	1
borders(Y, C)	borders(libya, algeria)	1
sharesBorder(Org, bhutan)	sharesBorder(X, Y) :- borders(X, Y)	1
memberOf(australia, C)	memberOf(australia, g20)	1
borders(slovakia, C)	borders(slovakia, austria)	1
twoBorderTrip(Y, saudi_arabia)	twoBorderTrip(X, Z) :- sharesBorder(X, Y), sharesBorder(Y, Z)	1
borders(turkmenistan, C)	borders(turkmenistan, afghanistan)	1
twoBorderTrip(C, lithuania)	twoBorderTrip(X, Z) :- sharesBorder(X, Y), sharesBorder(Y, Z)	1
sharesBorder(O, sweden)	sharesBorder(X, Y) :- borders(X, Y)	1
borders(C, City)	borders(congo, gabon)	1
borders(Country, benin)	borders(nigeria, benin)	1
locatedIn(C, europe)	locatedIn(united_kingdom, europe)	1
borders(Y, chad)	borders(cameroon, chad)	1
borders(saudi_arabia, W)	borders(saudi_arabia, united_arab_emirates)	1
borders(Z, Y)	borders(india, myanmar)	1
sharesBorder(belize, C)	sharesBorder(X, Y) :- borders(Y, X)	1
borders(Region, C)	borders(albania, kosovo)	1
borders(Y, C)	borders(san_marino, italy)	1
borders(C, City)	borders(monaco, france)	1
sharesBorder(mozambique, C)	sharesBorder(X, Y) :- borders(X, Y)	1
borders(latvia, Country)	borders(latvia, belarus)	1
officialLanguage(Region, C)	officialLanguage(oman, arabic)	1
officialLanguage(Y, C)	officialLanguage(peru, spanish)	1
currencyOf(Continent, C)	currencyOf(afghanistan, afghani)	1
sharesBorder(Org, uruguay)	sharesBorder(X, Y) :- borders(X, Y)	1
locatedIn(Z, europe)	locatedIn(ukraine, europe)	1
sharesBorder(gambia, Neighbor)	sharesBorder(X, Y) :- borders(Y, X)	1
borders(Z, Y)	borders(mali, algeria)	1
borders(W, chad)	borders(central_african_republic, chad)	1
borders(burkina_faso, Org)	borders(burkina_faso, togo)	1
officialLanguage(City, english)	officialLanguage(saint_lucia, english)	1
sharesBorder(russia, R)	sharesBorder(X, Y) :- borders(X, Y)	1
borders(X, Region)	borders(kazakhstan, kyrgyzstan)	1
officialLanguage(taiwan, C)	officialLanguage(taiwan, mandarin)	1
borders(egypt, L)	borders(egypt, sudan)	1
borders(Country, C)	borders(senegal, guinea_bissau)	1
memberOf(brazil, Country)	memberOf(brazil, brics)	1
borders(C, X)	borders(albania, montenegro)	1
borders(X, C)	borders(thailand, malaysia)	1
borders(Y, dr_congo)	borders(uganda, dr_congo)	1
borders(south_korea, C)	borders(south_korea, north_korea)	1
borders(C, libya)	borders(egypt, libya)	1
cityIn(C, iraq)	cityIn(basra, iraq)	1
borders(C, Y)	borders(south_africa, mozambique)	1
currencyOf(City, C)	currencyOf(namibia, namibian_dollar)	1
locatedIn(equatorial_guinea, africa)	locatedIn(equatorial_guinea, africa)	1
borders(morocco, Country)	borders(morocco, algeria)	1
locatedIn(City, C)	locatedIn(indonesia, asia)	1
borders(C, L)	borders(azerbaijan, russia)	1
borders(X, rwanda)	borders(uganda, rwanda)	1
locatedIn(C, City)	locatedIn(niger, africa)	1
officialLanguage(City, C)	officialLanguage(samoa, samoan)	1
memberOf(brazil, Continent)	memberOf(brazil, g20)	1
capitalOf(C, City)	capitalOf(tajikistan, dushanbe)	1
sharesBorder(belgium, O)	sharesBorder(X, Y) :- borders(Y, X)	1
officialLanguage(X, english)	officialLanguage(rwanda, english)	1
officialLanguage(W, arabic)	officialLanguage(tunisia, arabic)	1
sharesBorder(O, china)	sharesBorder(X, Y) :- borders(X, Y)	1
cityIn(C, City)	cityIn(conakry, guinea)	1
cityIn(C, south_sudan)	cityIn(juba, south_sudan)	1
sharesBorder(Neighbor, cote_divoire)	sharesBorder(X, Y) :- borders(Y, X)	1
borders(czechia, C)	borders(czechia, germany)	1
borders(W, C)	borders(azerbaijan, georgia)	1
sharesBorder(W, iraq)	sharesBorder(X, Y) :- borders(X, Y)	1
locatedIn(W, europe)	locatedIn(romania, europe)	1
borders(City, C)	borders(estonia, latvia)	1
borders(C, L)	borders(uganda, south_sudan)	1
borders(C, X)	borders(sudan, south_sudan)	1
borders(C, Country)	borders(chile, peru)	1
borders(C, nicaragua)	borders(costa_rica, nicaragua)	1
borders(Neighbor, iran)	borders(turkmenistan, iran)	1
currencyOf(Country, C)	currencyOf(cameroon, cfa_franc)	1
borders(Region, guinea)	borders(cote_divoire, guinea)	1
borders(serbia, L)	borders(serbia, hungary)	1
borders(C, Y)	borders(congo, gabon)	1
borders(W, C)	borders(andorra, spain)	1
borders(venezuela, Y)	borders(venezuela, guyana)	1
borders(L, mozambique)	borders(tanzania, mozambique)	1
borders(Y, C)	borders(kazakhstan, turkmenistan)	1
borders(Y, Z)	borders(yemen, oman)	1
sharesBorder(dr_congo, angola)	sharesBorder(X, Y) :- borders(Y, X)	1
officialLanguage(Region, C)	officialLanguage(kazakhstan, kazakh)	1
cityIn(C, monaco)	cityIn(monaco, monaco)	1
borders(C, City)	borders(chile, peru)	1
currencyOf(Country, C)	currencyOf(saint_kitts_and_nevis, eastern_caribbean_dollar)	1
sharesBorder(venezuela, Y)	sharesBorder(X, Y) :- borders(X, Y)	1
borders(Y, sierra_leone)	borders(liberia, sierra_leone)	1
sharesBorder(Country, zimbabwe)	sharesBorder(X, Y) :- borders(Y, X)	1
borders(X, C)	borders(ethiopia, south_sudan)	1
borders(Neighbor, laos)	borders(china, laos)	1
borders(X, Region)	borders(myanmar, laos)	1
borders(C, Y)	borders(liechtenstein, switzerland)	1
borders(R, C)	borders(algeria, tunisia)	1
borders(C, Country)	borders(guyana, suriname)	1
sharesBorder(tajikistan, X)	sharesBorder(X, Y) :- borders(Y, X)	1
borders(Neighbor, germany)	borders(poland, germany)	1
currencyOf(City, C)	currencyOf(south_sudan, south_sudanese_pound)	1
officialLanguage(City, C)	officialLanguage(guinea_bissau, crioulo)	1
borders(latvia, C)	borders(latvia, russia)	1
borders(Y, C)	borders(guinea, liberia)	1
borders(Z, Y)	borders(saudi_arabia, iraq)	1
borders(C, Z)	borders(monaco, france)	1
cityIn(C, chad)	cityIn(ndjamena, chad)	1
borders(north_macedonia, X)	borders(north_macedonia, kosovo)	1
sharesBorder(djibouti, X)	sharesBorder(X, Y) :- borders(Y, X)	1
borders(O, south_sudan)	borders(kenya, south_sudan)	1
borders(Z, Y)	borders(russia, belarus)	1
borders(L, dr_congo)	borders(rwanda, dr_congo)	1
borders(C, Z)	borders(central_african_republic, chad)	1
memberOf(iran, brics)	memberOf(iran, brics)	1
borders(Country, guatemala)	borders(mexico, guatemala)	1
cityIn(Y, pakistan)	cityIn(karachi, pakistan)	1
officialLanguage(City, C)	officialLanguage(serbia, serbian)	1
borders(uganda, X)	borders(uganda, dr_congo)	1
cityIn(C, lebanon)	cityIn(beirut, lebanon)	1
sharesBorder(north_korea, O)	sharesBorder(X, Y) :- borders(Y, X)	1
borders(benin, Org)	borders(benin, burkina_faso)	1
borders(Y, Z)	borders(turkmenistan, iran)	1
sharesBorder(bulgaria, X)	sharesBorder(X, Y) :- borders(X, Y)	1
borders(X, Region)	borders(georgia, turkey)	1
locatedIn(C, City)	locatedIn(brunei, asia)	1
borders(L, C)	borders(cote_divoire, mali)	1
currencyOf(R, cfa_franc)	currencyOf(cameroon, cfa_franc)	1
borders(C, Country)	borders(china, kazakhstan)	1
sharesBorder(central_african_republic, O)	sharesBorder(X, Y) :- borders(X, Y)	1
capitalOf(C, City)	capitalOf(uzbekistan, tashkent)	1
officialLanguage(Org, C)	officialLanguage(germany, german)	1
borders(Region, dr_congo)	borders(central_african_republic, dr_congo)	1
sharesBorder(R, tajikistan)	sharesBorder(X, Y) :- borders(X, Y)	1
borders(argentina, Neighbor)	borders(argentina, chile)	1
sharesBorder(zambia, R)	sharesBorder(X, Y) :- borders(Y, X)	1
borders(C, Country)	borders(kenya, tanzania)	1
borders(Country, afghanistan)	borders(tajikistan, afghanistan)	1
borders(X, C)	borders(equatorial_guinea, gabon)	1
currencyOf(Region, ouguiya)	currencyOf(mauritania, ouguiya)	1
borders(C, Y)	borders(kenya, south_sudan)	1
officialLanguage(L, portuguese)	officialLanguage(timor_leste, portuguese)	1
borders(Z, Y)	borders(senegal, guinea_bissau)	1
twoBorderTrip(syria, jordan)	twoBorderTrip(X, Z) :- sharesBorder(X, Y), sharesBorder(Y, Z)	1
borders(O, burundi)	borders(tanzania, burundi)	1
borders(X, C)	borders(russia, poland)	1
locatedIn(L, europe)	locatedIn(germany, europe)	1
locatedIn(C, City)	locatedIn(senegal, africa)	1
capitalOf(portugal, City)	capitalOf(portugal, lisbon)	1
officialLanguage(Neighbor, french)	officialLanguage(haiti, french)	1
sharesBorder(venezuela, C)	sharesBorder(X, Y) :- borders(X, Y)	1
