query,std reasoner,std nodes explored,std min depth,success,time
1,std,2,1,True,0.0028040649999994116
2,std,13,11,True,0.013886154000000595
3,std,4,3,True,0.00443674000000005
4,std,4,3,True,0.004950218000000284
5,std,2,1,True,0.0015919300000000192
6,std,4,3,True,0.0038815790000006345
7,std,4,3,True,0.004393141999999628
8,std,6,5,True,0.006035007999999564
9,std,4,3,True,0.0032718230000003956
10,std,2,1,True,0.0021618910000000824
11,std,4,3,True,0.12321789199999955
12,std,5474,13,True,0.4237012729999998
13,std,4,3,True,0.003467101000000028
14,std,4,3,True,0.004959677999999634
15,std,10,8,True,0.011495816000000048
16,std,4,3,True,0.0017609119999999479
17,std,1000000,0,False,16.059448974
18,std,80,6,True,0.01014834200000081
19,std,47741,0,False,2.722302668000001
20,std,282,4,True,0.3118944230000018
21,std,3,2,True,0.013801872999998466
22,std,4,3,True,0.003941465000000477
23,std,851602,0,False,16.639698756999998
24,std,5,4,True,0.026852464999997494
25,std,4,3,True,0.0019373560000062184
26,std,4,3,True,0.002646683000001815
27,std,4,3,True,0.005322615000004305
28,std,8,7,True,0.007078171000003408
29,std,16969,0,False,1.5656633449999973
30,std,4,3,True,0.0016551249999992024
31,std,4,3,True,0.001525936000000172
32,std,10,8,True,0.029297126999999534
33,std,4,3,True,0.00278576899999905
34,std,13,11,True,0.00607588300000117
35,std,3352,13,True,2.2561074199999993
36,std,4,3,True,0.007195959000000585
37,std,2,1,True,0.0017937340000031554
38,std,8,6,True,0.00883824200000305
39,std,13,11,True,0.007708309000001634
40,std,13,11,True,0.026309334000004014
41,std,13,11,True,0.0026899249999985386
42,std,13,11,True,0.006456817000000115
43,std,284,5,True,0.1627759900000001
44,std,4,3,True,0.008595875000004582
45,std,4,3,True,0.0032528630000001613
46,std,13,11,True,0.017865055999997992
47,std,4,3,True,0.0038013059999997267
48,std,4,3,True,0.0021992670000017256
49,std,105,0,False,0.06339044599999966
50,std,357,7,True,0.3372875709999974
51,std,7,6,True,0.021098293999997964
52,std,13,11,True,0.0063939269999977455
53,std,1000000,0,False,20.247312682000008
54,std,7,6,True,0.007730778999999188
55,std,11623,0,False,1.3463481160000015
56,std,4,3,True,0.001608554000000595
57,std,6,5,True,0.007245570999998563
58,std,4,3,True,0.005976466000007008
59,std,13,11,True,0.006725322999997729
60,std,4,3,True,0.005390789999992762
61,std,6,5,True,0.0060803819999932784
62,std,4,3,True,0.00015509600000029877
63,std,10,9,True,0.004947544000003745
64,std,48907,12,True,1.5779137140000046
65,std,3,2,True,0.03702471799999785
66,std,691637,0,False,14.253362275
67,std,3,2,True,0.004149716000000581
68,std,5,4,True,0.026770744000003788
69,std,4,3,True,0.03721049099999618
70,std,10,8,True,0.007172029000003022
71,std,4,3,True,0.0028443799999990915
72,std,4,3,True,0.0027336809999951583
73,std,408,8,True,0.22721460900000068
74,std,4,3,True,0.0015373929999924485
75,std,17284,12,True,0.7815171820000018
76,std,4,3,True,0.0015798430000018016
77,std,4,3,True,0.02703957399999979
78,std,4,3,True,0.004003873000002045
79,std,13,11,True,0.0030423879999972314
80,std,3,2,True,0.0025971749999911253
81,std,12830,0,False,2.526674353000004
82,std,13,11,True,0.03798003100000358
83,std,4,3,True,0.00014821899999617472
84,std,13,11,True,0.04378148199999998
85,std,6,5,True,0.006493845999997916
86,std,9,8,True,0.007930563000002167
87,std,4,3,True,0.00012919399999589132
88,std,61,6,True,0.010979852000005508
89,std,42,7,True,0.020611334000008696
90,std,4,3,True,0.002111104000007913
91,std,62618,0,False,3.3033625340000015
92,std,13,11,True,0.03167741199999341
93,std,4,3,True,0.004055685000011522
94,std,4,3,True,0.00012452800000062325
95,std,7,5,True,0.008070951999997078
96,std,4,3,True,0.00219918099999461
97,std,4,3,True,0.0034001020000005155
98,std,4,3,True,0.00229894600001046
99,std,4,3,True,0.00395544599999198
100,std,3,2,True,0.005569171000004758
