query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,4,3,True,1.8915288540000006
2,ming,17682,12,True,4.299148877
3,ming,2136,11,True,16.435957057
4,ming,4,3,True,1.3712924069999985
5,ming,5,4,True,1.1329479610000028
6,ming,29,15,True,6.054852395999994
7,ming,4,3,True,1.7723413889999975
8,ming,2,1,True,0.0053257360000031895
9,ming,1376,11,True,9.398554724999997
10,ming,4,3,True,1.3806940479999952
11,ming,379822,14,True,161.11619926999998
12,ming,9,8,True,8.374053618999994
13,ming,654,0,False,111.584798371
14,ming,2136,11,True,11.743633579000004
15,ming,815,0,False,75.275251234
16,ming,4,3,True,1.0092701450000163
17,ming,25371,15,True,8.509011289
18,ming,4,3,True,1.3332356770000047
19,ming,19152,9,True,3.084122722000018
20,ming,84,4,True,0.6614948669999876
21,ming,1376,11,True,8.622538598000006
22,ming,625,6,True,2.219352108999999
23,ming,29,7,True,1.0334055550000016
24,ming,2,1,True,0.0037684889999809457
25,ming,4,3,True,0.3041176950000022
26,ming,306,8,True,0.6612248239999872
27,ming,4,3,True,0.5716756980000355
28,ming,4,3,True,0.3706468429999745
29,ming,31139,0,False,78.12193833100002
30,ming,415,8,True,1.3229560629999924
31,ming,3,2,True,0.48714522900002066
32,ming,310,11,True,7.237904370000024
33,ming,58,12,True,7.168556122000041
34,ming,4,3,True,0.9547297969999136
35,ming,4,3,True,1.2163854059999721
36,ming,30,15,True,12.889256992000014
37,ming,1376,11,True,6.493127311999956
38,ming,4,3,True,0.5991209420000132
39,ming,4,3,True,0.07924029299999802
40,ming,4,3,True,0.46887521700000434
41,ming,15,6,True,0.33026705499992204
42,ming,4,3,True,0.849445744000036
43,ming,4,3,True,1.2277711340000224
44,ming,442679,15,True,107.13120916000003
45,ming,1000000,0,False,247.73772859399992
46,ming,56719,0,False,86.94205075500008
47,ming,13,8,True,6.021576288000006
48,ming,4,3,True,1.0712729419999505
49,ming,1000000,0,False,90.11052981400007
50,ming,9,8,True,2.1994971169999644
51,ming,4,3,True,0.7069236310001088
52,ming,433,10,True,1.527483912999969
53,ming,564,9,True,4.796858681999993
54,ming,4,3,True,0.3196114579998266
55,ming,24,4,True,0.07402780899997197
56,ming,1376,11,True,7.479088315000126
57,ming,4,3,True,0.5909593619999214
58,ming,11558,13,True,2.9123585910001566
59,ming,9750,11,True,16.291475536999997
60,ming,21175,11,True,4.890729085000203
61,ming,4,3,True,0.1642357550001634
62,ming,1000000,0,False,343.24542277
63,ming,1000000,0,False,154.95507658700012
64,ming,1971,11,True,4.628814384000179
65,ming,23,4,True,0.05716151399997216
66,ming,4086,11,True,3.123446458999979
67,ming,1376,11,True,4.332939045000103
68,ming,129,7,True,1.829795742999977
69,ming,4,3,True,1.1164960549999705
70,ming,4,3,True,0.4470941560000483
71,ming,2,1,True,0.006485499999826061
72,ming,5,4,True,0.03717725000001337
73,ming,1376,11,True,5.189408810999794
74,ming,6,5,True,1.585252644000093
75,ming,4,3,True,0.7974944590000632
76,ming,4,3,True,0.0014559869998720387
77,ming,2686,15,True,15.305242635000013
78,ming,1376,11,True,0.2824342279998291
79,ming,11746,15,True,15.688412004999918
80,ming,1376,11,True,2.32990602100017
81,ming,645,7,True,4.124578243999849
82,ming,4,3,True,0.525134375999869
83,ming,302,4,True,0.6004406070001096
84,ming,4,3,True,0.8506382780001331
85,ming,4,3,True,0.5498565899999903
86,ming,21,14,True,1.7415732849999586
87,ming,205,6,True,0.5864007599998331
88,ming,4,3,True,0.4580134220000218
89,ming,8,7,True,0.5387293370001771
90,ming,13,12,True,0.9828423280000607
91,ming,4,3,True,0.8092321139999967
92,ming,7,4,True,1.1398627829998986
93,ming,4,3,True,0.40662889999998697
94,ming,4,3,True,0.3104280700001709
95,ming,4,3,True,0.5453788899999381
96,ming,608,11,True,2.449309668000069
97,ming,771301,11,True,435.296138486
98,ming,42684,15,True,37.42835901100034
99,ming,5761,0,False,19.380902310000238
100,ming,9,8,True,2.612089660000038
