goal	rule	score
memberOf(City, C)	memberOf(poland, nato)	1
memberOf(C, Region)	memberOf(united_states, g20)	1
borders(R, C)	borders(botswana, zambia)	1
capitalOf(C, City)	capitalOf(antigua_and_barbuda, saint_johns)	1
sharesBorder(Org, lebanon)	sharesBorder(X, Y) :- borders(Y, X)	1
borders(czechia, Org)	borders(czechia, germany)	1
capitalOf(C, City)	capitalOf(dominica, roseau)	1
sharesBorder(City, sudan)	sharesBorder(X, Y) :- borders(Y, X)	1
borders(C, pakistan)	borders(china, pakistan)	1
borders(croatia, O)	borders(croatia, hungary)	1
borders(C, L)	borders(ghana, cote_divoire)	1
memberOf(C, Region)	memberOf(slovenia, nato)	1
borders(R, botswana)	borders(zimbabwe, botswana)	1
sharesBorder(syria, turkey)	sharesBorder(X, Y) :- borders(X, Y)	1
borders(L, C)	borders(saudi_arabia, jordan)	1
officialLanguage(india, english)	officialLanguage(india, english)	1
memberOf(italy, g20)	memberOf(italy, g20)	1
officialLanguage(City, french)	officialLanguage(monaco, french)	1
borders(C, Continent)	borders(brazil, venezuela)	1
cityIn(City, samoa)	cityIn(avai, samoa)	1
locatedIn(uzbekistan, C)	locatedIn(uzbekistan, asia)	1
cityIn(City, C)	cityIn(cebu_city, philippines)	1
cityIn(City, C)	cityIn(wau, south_sudan)	1
borders(Org, C)	borders(jordan, israel)	1
borders(V, somalia)	borders(kenya, somalia)	1
borders(Y, colombia)	borders(panama, colombia)	1
borders(kenya, Y)	borders(kenya, uganda)	1
locatedIn(C, oceania)	locatedIn(new_zealand, oceania)	1
cityIn(C, ecuador)	cityIn(quito, ecuador)	1
borders(bosnia_and_herzegovina, Continent)	borders(bosnia_and_herzegovina, croatia)	1
borders(L, C)	borders(czechia, austria)	1
memberOf(City, C)	memberOf(pakistan, g20)	1
borders(City, C)	borders(central_african_republic, dr_congo)	1
borders(C, O)	borders(brazil, suriname)	1
cityIn(C, bosnia_and_herzegovina)	cityIn(sarajevo, bosnia_and_herzegovina)	1
sharesBorder(Org, azerbaijan)	sharesBorder(X, Y) :- borders(X, Y)	1
sharesBorder(Neighbor, niger)	sharesBorder(X, Y) :- borders(X, Y)	1
memberOf(C, Region)	memberOf(belgium, eu)	1
locatedIn(Country, C)	locatedIn(fiji, oceania)	1
borders(Continent, C)	borders(albania, kosovo)	1
capitalOf(City, C)	capitalOf(luxembourg, luxembourg_city)	1
borders(cambodia, Y)	borders(cambodia, laos)	1
officialLanguage(C, french)	officialLanguage(mauritius, french)	1
borders(City, dr_congo)	borders(zambia, dr_congo)	1
locatedIn(L, middle_east)	locatedIn(yemen, middle_east)	1
borders(Neighbor, C)	borders(russia, north_korea)	1
borders(Y, israel)	borders(syria, israel)	1
currencyOf(C, City)	currencyOf(cape_verde, escudo)	1
officialLanguage(Org, english)	officialLanguage(dominica, english)	1
cityIn(C, City)	cityIn(karachi, pakistan)	1
borders(C, gambia)	borders(senegal, gambia)	1
sharesBorder(Continent, afghanistan)	sharesBorder(X, Y) :- borders(Y, X)	1
borders(C, Org)	borders(russia, belarus)	1
borders(Neighbor, C)	borders(namibia, zambia)	1
memberOf(C, Region)	memberOf(czechia, eu)	1
locatedIn(V, africa)	locatedIn(malawi, africa)	1
capitalOf(City, C)	capitalOf(madagascar, antananarivo)	1
borders(Org, C)	borders(south_africa, botswana)	1
currencyOf(Region, C)	currencyOf(albania, lek)	1
borders(O, mauritania)	borders(mali, mauritania)	1
borders(kazakhstan, Y)	borders(kazakhstan, turkmenistan)	1
borders(V, rwanda)	borders(uganda, rwanda)	1
borders(Org, C)	borders(uganda, rwanda)	1
borders(Org, montenegro)	borders(albania, montenegro)	1
borders(C, W)	borders(latvia, lithuania)	1
borders(R, C)	borders(india, bhutan)	1
sharesBorder(syria, C)	sharesBorder(X, Y) :- borders(X, Y)	1
locatedIn(Neighbor, africa)	locatedIn(namibia, africa)	1
borders(austria, Neighbor)	borders(austria, hungary)	1
memberOf(C, City)	memberOf(saudi_arabia, brics)	1
locatedIn(City, C)	locatedIn(bangladesh, asia)	1
borders(Neighbor, C)	borders(senegal, guinea)	1
officialLanguage(Z, russian)	officialLanguage(kyrgyzstan, russian)	1
sharesBorder(lithuania, R)	sharesBorder(X, Y) :- borders(Y, X)	1
borders(C, Org)	borders(bulgaria, turkey)	1
