query,std reasoner,std nodes explored,std min depth,success,time
1,std,4,3,True,0.0035285289999995584
2,std,13,12,True,0.01208850799999972
3,std,13,11,True,0.012632711000000185
4,std,4,3,True,0.0036969009999996416
5,std,5,4,True,0.005270877000000063
6,std,89,15,True,0.19791050699999957
7,std,4,3,True,0.004450220999999921
8,std,2,1,True,0.0019913599999998866
9,std,13,11,True,0.005507292999999969
10,std,4,3,True,0.0034125110000005066
11,std,113277,0,False,3.629447485
12,std,10,8,True,0.010471916000000192
13,std,57713,0,False,2.9246923140000014
14,std,13,11,True,0.002718841000000083
15,std,790791,0,False,11.553186461000001
16,std,4,3,True,0.023300458000001356
17,std,3264,15,True,1.123724873999997
18,std,4,3,True,0.024149061999999333
19,std,10,9,True,0.009818347999999588
20,std,5,4,True,0.004868416999997294
21,std,13,11,True,0.008318509999998724
22,std,11,6,True,0.012038355000001388
23,std,186,7,True,0.29697284600000273
24,std,2,1,True,0.0017745340000026033
25,std,4,3,True,0.005443089999999984
26,std,10,8,True,0.007942694999997002
27,std,4,3,True,0.0036840470000001346
28,std,4,3,True,0.001968312999999
29,std,5888,0,False,1.339034114999997
30,std,169,8,True,0.1819130219999998
31,std,3,2,True,0.007487368999999688
32,std,13,11,True,0.002942211000000583
33,std,183,12,True,0.21256740200000124
34,std,4,3,True,0.015247877000000187
35,std,4,3,True,0.00508430300000029
36,std,2082,15,True,0.5383110010000003
37,std,13,11,True,0.27367645100000004
38,std,4,3,True,0.0025935029999999415
39,std,4,3,True,0.001917913999999854
40,std,4,3,True,0.0054939010000012445
41,std,7,6,True,0.003711295999998754
42,std,4,3,True,0.0037256780000021195
43,std,4,3,True,0.0053751439999985
44,std,106117,0,False,20.18792908
45,std,1386,0,False,0.5255106460000007
46,std,1406,0,False,0.6408495860000016
47,std,10,8,True,0.03582790299999772
48,std,4,3,True,0.10243098200000134
49,std,1000000,0,False,18.422955034000005
50,std,10,8,True,0.0054723349999932225
51,std,4,3,True,0.03332106399999191
52,std,343,10,True,0.4820543980000025
53,std,132,9,True,0.14273460500000112
54,std,4,3,True,0.006820657000005781
55,std,87,4,True,0.1677346720000088
56,std,13,11,True,0.030616960000003246
57,std,4,3,True,0.005323536999995326
58,std,259,13,True,0.21315479199999743
59,std,14,11,True,0.030002484000007712
60,std,287,12,True,0.0638843180000066
61,std,4,3,True,0.04297662900000887
62,std,1000000,0,False,24.186380858999996
63,std,616968,0,False,11.141030754999989
64,std,13,11,True,0.03098278800000287
65,std,5,4,True,0.005277692999996475
66,std,13,11,True,0.03392121999999631
67,std,13,11,True,0.006904247000008468
68,std,280,7,True,0.25688673000000506
69,std,4,3,True,0.03214373599999476
70,std,4,3,True,0.0025546749999989515
71,std,2,1,True,0.0018698880000016516
72,std,6,4,True,0.0074716309999871555
73,std,13,11,True,0.007829901999997446
74,std,6,5,True,0.006389459999994074
75,std,4,3,True,0.004182352000000833
76,std,4,3,True,0.0038915199999962624
77,std,254,15,True,0.260309043999996
78,std,13,11,True,0.02861979700000461
79,std,3430,15,True,1.0321790859999993
80,std,13,11,True,0.010244362000008778
81,std,368,7,True,0.15612020199999677
82,std,4,3,True,0.028039809000006244
83,std,7,5,True,0.004045085999990761
84,std,4,3,True,0.004216601999999625
85,std,4,3,True,0.0038353149999892366
86,std,725,15,True,0.41519189899999276
87,std,66,6,True,0.02197745700000553
88,std,4,3,True,0.002288629000005926
89,std,207,7,True,0.1970596249999943
90,std,184,12,True,0.18159615599999768
91,std,4,3,True,0.022640346000002864
92,std,43,4,True,0.04998604300000409
93,std,4,3,True,0.008007999000000154
94,std,4,3,True,0.003946088999995823
95,std,4,3,True,0.004793045999988976
96,std,13,11,True,0.003819578000005208
97,std,532,11,True,0.607555184000006
98,std,21509,0,False,5.645979746999998
99,std,528891,0,False,12.381461778000002
100,std,10,8,True,0.014414261999988298
