query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,7,6,True,0.5392307470000004
2,ming,4,3,True,0.011384119000000581
3,ming,3,2,True,0.2332218810000004
4,ming,4,3,True,0.17915934100000008
5,ming,3,2,True,0.00927385600000008
6,ming,21,7,True,0.7831454939999993
7,ming,6,5,True,0.02586842600000061
8,ming,7,6,True,0.0678647520000002
9,ming,4,3,True,0.01704836100000051
10,ming,6,5,True,0.028401574000000096
11,ming,3,2,True,0.17524906999999956
12,ming,9,3,True,0.24543133300000086
13,ming,4,3,True,0.011242719000000179
14,ming,3,2,True,0.172127197
15,ming,3,2,True,0.010474348000000688
16,ming,8,7,True,0.07633175800000025
17,ming,4,3,True,0.015471432000000007
18,ming,4,3,True,0.009658818000000124
19,ming,4,3,True,0.17801292800000112
20,ming,2918,11,True,30.417958906
21,ming,8,7,True,0.24112556099999694
22,ming,6,3,True,0.017518154000001118
23,ming,5,3,True,0.18543696700000112
24,ming,5,4,True,0.06136790600000097
25,ming,3,2,True,0.18214433899999705
26,ming,4,3,True,0.012689942999998038
27,ming,4,3,True,0.3498929400000037
28,ming,19,11,True,0.4282969719999983
29,ming,4,3,True,0.01201378500000061
30,ming,3,2,True,0.17776137599999942
31,ming,3,2,True,0.005298396000000594
32,ming,3,2,True,0.009340887000000464
33,ming,26,6,True,0.30764453799999814
34,ming,4,3,True,0.010524079000006736
35,ming,7,5,True,0.43806696600000095
36,ming,7,6,True,0.23930017300000372
37,ming,5,3,True,0.22620529800000355
38,ming,4,3,True,0.06983808999999752
39,ming,12,11,True,0.8719535399999998
40,ming,7,6,True,0.034841261000003954
41,ming,306,11,True,1.7094096080000014
42,ming,10080,0,False,36.858718186
43,ming,4,3,True,0.010222057000007112
44,ming,8,7,True,0.030233377000001838
45,ming,3,2,True,0.012363124999993147
46,ming,7,6,True,0.038899301999990143
47,ming,3,2,True,0.013617448999994508
48,ming,7,5,True,0.03927666299999544
49,ming,4,3,True,0.014327992000005452
50,ming,290047,10,True,60.20288390500001
51,ming,7,6,True,0.04750691099999926
52,ming,9,5,True,0.41000963799999113
53,ming,4,3,True,0.18721766000001594
54,ming,4,3,True,0.18244010300000468
55,ming,3,2,True,0.1857461859999887
56,ming,4,3,True,0.18673855000000117
57,ming,4,3,True,0.18554601299999263
58,ming,4,3,True,0.18348512000000028
59,ming,3,2,True,0.013057952999986355
60,ming,3,2,True,0.008181833999998389
61,ming,3,2,True,0.01114069600001244
62,ming,4,3,True,0.07289330599999744
63,ming,3,2,True,0.0036429220000115947
64,ming,4,3,True,0.008363873000007516
65,ming,3,2,True,0.17962166000000934
66,ming,4,3,True,0.18404808100001446
67,ming,4,3,True,0.012116379999980609
68,ming,4,3,True,0.00010921700001631507
69,ming,2895,12,True,1.2149954520000108
70,ming,3,2,True,0.17349771300001748
71,ming,3,2,True,0.004032684999998537
72,ming,4,3,True,0.19708890999999085
73,ming,4,3,True,0.011899744000004375
74,ming,4,3,True,0.07134972300002573
75,ming,4,3,True,0.006708978000006027
76,ming,54898,6,True,3.2500304049999897
77,ming,8,7,True,0.05302831999998148
78,ming,4,3,True,0.010386503999995966
79,ming,4,3,True,0.009761945999997579
80,ming,4,3,True,0.012275082999991582
81,ming,10,9,True,0.5215792210000245
82,ming,4,3,True,0.011094731000014235
83,ming,5,3,True,0.17334949299998925
84,ming,3,2,True,0.00525526000001264
85,ming,13,12,True,1.9209831309999856
86,ming,10053,12,True,6.260104327999983
87,ming,4,3,True,0.1828128319999962
88,ming,3,2,True,0.010072433000004821
89,ming,24,5,True,0.21587252099999432
90,ming,4,3,True,0.00019838800000115953
91,ming,3,2,True,0.006920941000004177
92,ming,8,3,True,0.18864895900000533
93,ming,4,3,True,0.010866208999999571
94,ming,4,3,True,0.23347782400000483
95,ming,4,3,True,0.01249671800002261
96,ming,3,2,True,0.00015583900000137874
97,ming,3,2,True,0.009343647999997984
98,ming,4,3,True,0.05351351400000226
99,ming,4,3,True,0.010535872999980711
100,ming,3,2,True,0.004636148000003004
