query,std reasoner,std nodes explored,std min depth,success,time
1,std,7,6,True,0.0012051809999995555
2,std,4,3,True,0.0007937890000002668
3,std,3,2,True,0.001372373000000593
4,std,4,3,True,0.0016571270000005356
5,std,3,2,True,0.0007655609999996926
6,std,246,7,True,0.17442084199999996
7,std,22,5,True,0.011725049999999904
8,std,7,6,True,0.0007997640000008133
9,std,6,5,True,0.0014295710000000739
10,std,6,5,True,0.001560358000000761
11,std,3,2,True,0.001900970000000335
12,std,4,3,True,0.0010386829999999847
13,std,4,3,True,0.0008295590000004793
14,std,3,2,True,0.001124610999999831
15,std,3,2,True,0.0001361260000001252
16,std,3311,9,True,0.5398270920000003
17,std,4,3,True,0.00101969199999985
18,std,4,3,True,0.00013036299999935608
19,std,4,3,True,0.0017449819999999505
20,std,5949,11,True,0.4067304570000001
21,std,153,8,True,0.01656232300000049
22,std,4,3,True,0.0003079679999995477
23,std,5,3,True,0.001778736000000336
24,std,5,4,True,0.00098174800000006
25,std,3,2,True,0.0016221139999998968
26,std,4,3,True,0.0009352969999998351
27,std,4,3,True,0.002180530999999597
28,std,7981,12,True,0.31731804199999925
29,std,4,3,True,0.0008193759999990391
30,std,3,2,True,0.0015427460000001503
31,std,3,2,True,0.0007482260000006846
32,std,3,2,True,0.0007277260000009278
33,std,10,7,True,0.003099328999999429
34,std,4,3,True,0.0008802170000006271
35,std,164,5,True,0.017183396000000073
36,std,7,6,True,0.0022156760000004994
37,std,6,3,True,0.0022844140000000124
38,std,5,3,True,0.003821250999999748
39,std,1765,14,True,0.2435431709999989
40,std,7,6,True,0.0009437830000003089
41,std,5333,11,True,0.236337829
42,std,42471,0,False,1.5223842360000006
43,std,4,3,True,0.0011673200000004158
44,std,8,7,True,0.0003216080000001398
45,std,3,2,True,0.0009746459999995238
46,std,1961,7,True,0.04314391800000017
47,std,3,2,True,0.000964865000000259
48,std,7,5,True,0.002164740999999637
49,std,4,3,True,0.0010153939999995032
50,std,3223,10,True,0.16396556799999829
51,std,384,8,True,0.05158285299999932
52,std,8,6,True,0.002894461000000348
53,std,4,3,True,0.0014325480000003665
54,std,5,3,True,0.0009742629999998087
55,std,3,2,True,0.0017614599999991043
56,std,4,3,True,0.0013311680000001047
57,std,4,3,True,0.0012919150000012536
58,std,4,3,True,0.0013039900000002547
59,std,3,2,True,0.0009395629999993105
60,std,3,2,True,0.001203942000000069
61,std,3,2,True,0.0009703949999995132
62,std,8,3,True,0.0037237149999995722
63,std,3,2,True,0.00013458000000099446
64,std,4,3,True,0.0010449710000006718
65,std,3,2,True,0.0020357630000003013
66,std,4,3,True,0.0012996559999987056
67,std,4,3,True,0.0008039659999994342
68,std,4,3,True,0.0009979050000001877
69,std,99,12,True,0.009879471000001416
70,std,3,2,True,0.018806441000000618
71,std,3,2,True,0.00015806400000073495
72,std,4,3,True,0.0012862149999985917
73,std,4,3,True,0.0017982800000009291
74,std,33,3,True,0.021995444999999947
75,std,4,3,True,0.0009660389999996966
76,std,181,7,True,0.03120040299999971
77,std,2921,8,True,0.05277913199999951
78,std,4,3,True,0.0012958659999995348
79,std,4,3,True,0.0009902559999996896
80,std,4,3,True,0.0017991000000012747
81,std,67,9,True,0.02327600899999993
82,std,4,3,True,0.0010639650000001666
83,std,4,3,True,0.0007597490000001983
84,std,3,2,True,0.20352973500000004
85,std,13,12,True,0.0041273079999992746
86,std,10869,12,True,0.40795604299999866
87,std,4,3,True,0.0012010530000008401
88,std,3,2,True,0.00014973200000056863
89,std,7,6,True,0.002670615999999626
90,std,4,3,True,8.093199999947842e-05
91,std,3,2,True,0.0007499649999989089
92,std,4,3,True,0.00010292300000003252
93,std,4,3,True,0.0031383609999995343
94,std,4,3,True,0.0009809670000002768
95,std,4,3,True,0.0011768120000006377
96,std,3,2,True,7.708499999914409e-05
97,std,3,2,True,0.0007647379999990989
98,std,9,3,True,0.004251025000000297
99,std,4,3,True,0.0007957820000008553
100,std,3,2,True,0.0007466950000001304
