query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,3,2,True,0.4481828700000001
2,ming,2,1,True,0.014156011999999052
3,ming,2,1,True,0.02841807400000107
4,ming,2,1,True,0.023120220000000913
5,ming,3,2,True,0.043228796999999375
6,ming,2,1,True,0.025080568999999997
7,ming,2,1,True,0.005845302999999191
8,ming,2,1,True,0.025565846000001002
9,ming,3,2,True,0.036140714000000074
10,ming,5,4,True,0.07527671799999958
11,ming,2,1,True,0.020653719000000237
12,ming,3,2,True,0.00711003099999985
13,ming,2,1,True,0.0056304360000005715
14,ming,3,2,True,0.00895171900000058
15,ming,2,1,True,0.03558740899999968
16,ming,8083,9,True,54.795623899999995
17,ming,4,3,True,0.06921401500000002
18,ming,4,3,True,0.052727725000004
19,ming,4,3,True,0.05791655499999848
20,ming,3,2,True,0.04127059399999666
21,ming,3,2,True,0.03854500999999999
22,ming,2658,11,True,7.588845805000005
23,ming,1000000,0,False,343.525716632
24,ming,2,1,True,0.04172280700004194
25,ming,5432,5,True,38.61901946800003
26,ming,2,1,True,0.008801064000010683
27,ming,2,1,True,0.008916360999990047
28,ming,3,2,True,0.052922319999993306
29,ming,2,1,True,0.008809480999957486
30,ming,3,2,True,0.032911719000026096
31,ming,3,2,True,0.05833404499998096
32,ming,13917,6,True,31.121016645999987
33,ming,2,1,True,0.00010338099997397876
34,ming,2,1,True,0.045367309999960526
35,ming,4,3,True,0.03223051999998461
36,ming,4,3,True,0.012363278999998784
37,ming,3,2,True,0.037200906999999006
38,ming,3,2,True,0.00011305999998967309
39,ming,3,2,True,0.04328350100001899
40,ming,10,9,True,0.21035957100002634
41,ming,645,0,False,6.38806376399998
42,ming,3,2,True,0.02141874099999086
43,ming,34,3,True,0.530235810000022
44,ming,3,2,True,0.026085658999988937
45,ming,3,2,True,0.029984564000017144
46,ming,3,2,True,0.04425161599999683
47,ming,4,3,True,0.01496375099998204
48,ming,1000000,0,False,172.23534613099997
49,ming,1000000,0,False,245.160664988
50,ming,3,2,True,0.04783508200000597
51,ming,3,2,True,0.04385069700003896
52,ming,3,2,True,0.04208769700005632
53,ming,486,5,True,7.311840326000038
54,ming,9368,4,True,7.600309699000036
55,ming,3,2,True,0.005217153999979018
56,ming,2658,11,True,19.109204579999982
57,ming,3,2,True,0.011680679999926724
58,ming,2,1,True,0.0021335789999739063
59,ming,3,2,True,9.819300009894505e-05
60,ming,5,4,True,0.14012141700004577
61,ming,5,4,True,0.03007078799998908
62,ming,4,3,True,0.060556668999993235
63,ming,24,9,True,1.0355647879999879
64,ming,4,3,True,0.04750200000000859
65,ming,4,3,True,0.044113791999961904
66,ming,2,1,True,0.03916027100001429
67,ming,2,1,True,9.433200000330544e-05
68,ming,2,1,True,0.005450815000017428
69,ming,2,1,True,0.025033459000042058
70,ming,2,1,True,0.04057223699999213
71,ming,2,1,True,0.005365367999957016
72,ming,2,1,True,0.040222383000013906
73,ming,1000000,0,False,281.50489781600004
74,ming,6,5,True,0.05877190999990489
75,ming,6,5,True,0.05018750499993985
76,ming,2,1,True,0.045526628999823515
77,ming,3,2,True,0.042682017999823074
78,ming,90,9,True,2.446069755000053
79,ming,2,1,True,0.0259247270000742
80,ming,6,5,True,0.057656760000099894
81,ming,3,2,True,0.040405807000070126
82,ming,6,5,True,0.0718024919999607
83,ming,3,2,True,0.03909888199996203
84,ming,2,1,True,0.006060084999944593
85,ming,2,1,True,0.03953261000015118
86,ming,18,2,True,0.1228795069998796
87,ming,1525,12,True,9.329277661000106
88,ming,3,2,True,0.03910885799996322
89,ming,4,3,True,0.046196873000099004
90,ming,2,1,True,0.02641975800020191
91,ming,3,2,True,0.03742028300007405
92,ming,3,2,True,0.026378199999953722
93,ming,5,4,True,0.04927636200000052
94,ming,3,2,True,0.039072708000048806
95,ming,117,3,True,1.9182828280002013
96,ming,5432,5,True,25.272662790999902
97,ming,3,2,True,0.020837234000055105
98,ming,2,1,True,0.006938230999821826
99,ming,3,2,True,9.435499987375806e-05
100,ming,1272,15,True,8.444842828999981
