query,ming reasoner,ming nodes explored,ming min depth,success,time
1,ming,2,1,True,0.3954001070000004
2,ming,2,1,True,0.017314082000000397
3,ming,3,2,True,0.004558354000000264
4,ming,3,2,True,0.007930087000000086
5,ming,3,2,True,0.0032914040000004974
6,ming,2,1,True,0.017028638000001095
7,ming,2,1,True,0.019538861000000907
8,ming,5,4,True,0.01836843999999971
9,ming,3,2,True,0.0064021669999991815
10,ming,3,2,True,0.005720593999999579
11,ming,4,3,True,0.009337555999998415
12,ming,2,1,True,0.0026966050000005737
13,ming,4,3,True,0.007981327000001315
14,ming,2,1,True,0.0030497790000012515
15,ming,7,6,True,0.09262913899999958
16,ming,2,1,True,0.019295923999999687
17,ming,4,3,True,0.009909384000000188
18,ming,4,3,True,0.007141383000000445
19,ming,5,4,True,0.026390182000000095
20,ming,4,3,True,0.00696756100000151
21,ming,137,10,True,0.9106930110000011
22,ming,2,1,True,0.004744527999999804
23,ming,2,1,True,0.01834181899999976
24,ming,6,5,True,0.023033932999998896
25,ming,10,9,True,0.1213382860000003
26,ming,3,2,True,0.004285434999999893
27,ming,6,5,True,0.03196837299999977
28,ming,3,2,True,0.0051130930000002905
29,ming,4,3,True,0.012146895000000768
30,ming,1000000,0,False,327.509293673
31,ming,2,1,True,0.018331532000047446
32,ming,2,1,True,0.017776508999986618
33,ming,2,1,True,0.003594615000054091
34,ming,4,3,True,0.00765990000002148
35,ming,8,7,True,0.05650751600001058
36,ming,4,3,True,0.007312510000019756
37,ming,2,1,True,0.019639546999997037
38,ming,2,1,True,0.01722307099998943
39,ming,23,10,True,0.2625950710000211
40,ming,2,1,True,0.004783681999981582
41,ming,8,7,True,0.08372563299997182
42,ming,8,7,True,0.04567138099997692
43,ming,443,6,True,1.8705647549999753
44,ming,2,1,True,0.01719348199998194
45,ming,2,1,True,7.636200001570614e-05
46,ming,1000000,0,False,182.721495059
47,ming,546,4,True,3.0758885420000297
48,ming,4,3,True,0.009072835999972995
49,ming,7,6,True,0.03541313799996715
50,ming,4,3,True,0.012063258000011956
51,ming,3,2,True,0.0025209019999010707
52,ming,1000000,0,False,180.301554097
53,ming,3,2,True,0.004394525999941834
54,ming,8,7,True,0.08113259599997491
55,ming,2,1,True,0.020756859000016448
56,ming,9,8,True,0.054359298000008494
57,ming,2,1,True,0.01859122700000171
58,ming,1400,3,True,4.633593620999932
59,ming,3,2,True,0.006439384000032078
60,ming,5,4,True,0.07607696700006272
61,ming,7,6,True,0.05191097500005526
62,ming,2,1,True,0.018667585999992298
63,ming,3,2,True,0.0059688669999786725
64,ming,4,3,True,0.02552013700005773
65,ming,2,1,True,0.0045821300000170595
66,ming,2,1,True,0.017664328000023488
67,ming,5,4,True,0.02895469600002798
68,ming,2,1,True,0.00314808100006303
69,ming,7,6,True,0.10185172800004239
70,ming,4,3,True,0.010194863000037913
71,ming,3,2,True,0.0066611109999712426
72,ming,2,1,True,0.018732715000055578
73,ming,2,1,True,0.01972244499995668
74,ming,2,1,True,0.017472558000008576
75,ming,1000000,0,False,295.029924197
76,ming,1000000,0,False,314.157033651
77,ming,2,1,True,0.004793875000132175
78,ming,3,2,True,0.0034489449999455246
79,ming,2,1,True,0.020177261999833718
80,ming,2,1,True,0.020601692999889565
81,ming,4,3,True,0.008775195999987773
82,ming,2,1,True,0.01749442900018039
83,ming,22202,7,True,19.71937495500015
84,ming,3,2,True,0.006929305000085151
85,ming,2,1,True,0.017050325000127486
86,ming,4,3,True,0.014823302000195326
87,ming,19,4,True,0.03136091199985458
88,ming,2,1,True,0.017398898000010377
89,ming,5,4,True,0.019865323999965767
90,ming,4,3,True,0.04618467499994949
91,ming,6,5,True,0.033565626999916276
92,ming,2,1,True,0.004666166999868437
93,ming,4,3,True,0.03184253099993839
94,ming,2,1,True,0.0031965400000899535
95,ming,21,7,True,0.08589549099997384
96,ming,3,2,True,0.006322950999901877
97,ming,3,2,True,0.006458704999886322
98,ming,3,2,True,0.005836775000034322
99,ming,5,4,True,0.02777678300003572
100,ming,2,1,True,0.004826434000051449
