goal	rule	score
p9(X0, a62, X1)	p9(a60, a62, a23)	1
p5(X2, X1, X0)	p5(a21, a43, a72)	1
p6(X0, X1, X2, a40)	p6(a15, a41, a40, a40)	1
p4(X1, X4)	p4(a10, a18)	1
p4(X1, X0)	p4(a0, a45)	1
p6(X1, X0, X2, a78)	p6(a96, a71, a23, a78)	1
p4(X0, X9)	p4(a10, a18)	1
p1(X0, X1)	p1(a74, a48)	1
p5(X8, X0, X9)	p5(a37, a30, a90)	1
p9(X0, X9, a13)	p9(X0, X8, X4) :- p9(X4, X8, X0)	1
p2(X0, a43, X6)	p2(a44, a43, a23)	1
p5(a58, X0, X6)	p5(a58, a0, a13)	1
p5(X0, X3, X1)	p5(a99, a84, a19)	1
p4(X1, X9)	p4(a20, a79)	1
p7(a36)	p7(a36)	1
p2(X0, a0, X2)	p2(a0, a0, a45)	1
p9(X0, X6, a17)	p9(X0, X8, X4) :- p9(X4, X8, X0)	1
p9(X2, a0, X4)	p9(a7, a0, a67)	1
p7(X0)	p7(a30)	1
p1(X0, X5)	p1(a30, a0)	1
p9(X0, X1, X9)	p9(a17, a0, a11)	1
p4(X0, X7)	p4(a38, a42)	1
p9(X1, X0, X2)	p9(a76, a57, a0)	1
p2(X0, a39, X1)	p2(X6, X4, X4) :- p5(X4, X8, X6)	1
p5(X0, X7, X1)	p5(a30, a1, a74)	1
p9(a0, X5, X0)	p9(a0, a83, a14)	1
p2(X0, X2, X1)	p2(a40, a0, a82)	1
p5(X0, a0, X1)	p5(a26, a0, a52)	1
p5(X1, X2, X0)	p5(a1, a89, a24)	1
p9(X2, X0, X1)	p9(X0, X8, X4) :- p9(X4, X8, X0)	1
p8(X7, X0)	p8(a12, a52)	1
p8(X0, X9)	p8(a94, a13)	1
p5(X0, X1, X8)	p5(a34, a89, a11)	1
p2(X7, X1, X1)	p2(a0, a0, a0)	1
p5(X1, X0, X3)	p5(a37, a30, a90)	1
p5(X0, X1, X8)	p5(a21, a43, a72)	1
p6(a6, X0, X1, X2)	p6(a6, a16, a73, a61)	1
p9(a10, X0, X1)	p9(a10, a0, a3)	1
p2(X0, a15, a15)	p2(X6, X4, X4) :- p5(X4, X8, X6)	1
p7(X9)	p7(X7) :- p0(X9), p2(X8, X9, X7)	1
p8(X0, X1)	p8(a32, a93)	1
p5(X1, X0, X4)	p5(a17, a44, a84)	1
p5(X2, X0, X8)	p5(a21, a43, a72)	1
p2(X0, a0, X9)	p2(a40, a0, a82)	1
p5(X0, X1, a94)	p5(a8, a19, a94)	1
p8(X0, X5)	p8(a13, a92)	1
p8(X0, a15)	p8(a18, a15)	1
p9(X0, X1, a3)	p9(a10, a0, a3)	1
p2(X0, a15, a18)	p2(a75, a15, a18)	1
p9(a17, X2, X0)	p9(a17, a0, a11)	1
p0(X7)	p0(a24)	1
p5(X0, X1, X2)	p5(a80, a88, a11)	1
p9(X0, X1, X5)	p9(a18, a0, a94)	1
p8(a12, X5)	p8(a12, a52)	1
p6(X0, X1, X2, X5)	p6(a0, a9, a20, a1)	1
p0(X7)	p0(a17)	1
p1(X9, X0)	p1(a10, a59)	1
p2(X1, a58, X0)	p2(X6, X4, X4) :- p5(X4, X8, X6)	1
p2(X0, a71, X7)	p2(a72, a71, a56)	1
p5(X2, X0, X6)	p5(a53, a30, a22)	1
p6(X0, X1, X2, X9)	p6(a41, a77, a36, a19)	1
p0(X3)	p0(a8)	1
p5(X0, X1, X3)	p5(a31, a0, a33)	1
p2(X0, a15, X5)	p2(X6, X4, X4) :- p5(X4, X8, X6)	1
p9(a11, a25, X2)	p9(X0, X8, X4) :- p9(X4, X8, X0)	1
p8(a0, X8)	p8(a0, a1)	1
p8(X0, a30)	p8(a34, a30)	1
p9(X5, X0, X1)	p9(a10, a0, a3)	1
p4(X0, X7)	p4(a73, a8)	1
p8(X0, X7)	p8(a18, a15)	1
p1(X3, X5)	p1(X0, X0) :- p4(X4, X0), p2(X4, X4, X0)	1
p4(X0, X8)	p4(a16, a13)	1
p2(a0, X1, X1)	p2(X6, X4, X4) :- p5(X4, X8, X6)	1
p9(X0, a70, X1)	p9(X0, X8, X4) :- p9(X4, X8, X0)	1
