query,std reasoner,std nodes explored,std min depth,success,time
1,std,2,1,True,0.00045385200000058745
2,std,2,1,True,0.0002988759999995594
3,std,3,2,True,0.0006448560000000825
4,std,765251,2,True,37.380851342
5,std,3,2,True,0.0006391719999996326
6,std,2,1,True,0.00028994099999835043
7,std,2,1,True,0.00041350400000084164
8,std,5,4,True,0.0017486180000005902
9,std,3,2,True,0.0005225459999991244
10,std,3,2,True,0.011906271000000856
11,std,1000000,0,False,48.213420164999995
12,std,2,1,True,0.0004803409999993846
13,std,4,3,True,0.0010161329999931468
14,std,2,1,True,0.00032977500001152293
15,std,1000000,0,False,47.37235616699999
16,std,2,1,True,0.000449254000017163
17,std,4,3,True,0.0018278619999989587
18,std,1000000,0,False,45.284760511
19,std,6,5,True,0.0018666359999883753
20,std,64,3,True,0.013948747000000594
21,std,1000000,0,False,45.215316272999985
22,std,2,1,True,0.0006138640000017404
23,std,2,1,True,0.0004081550000023526
24,std,7,6,True,0.0016535499999861258
25,std,438267,9,True,26.441052192
26,std,3,2,True,0.0009767299999907664
27,std,6,5,True,0.0020568599999819526
28,std,3,2,True,0.0008399630000326397
29,std,605658,3,True,30.579024374000028
30,std,82412,4,True,4.167957607999995
31,std,2,1,True,0.00030392999997275183
32,std,2,1,True,0.0003045130000032259
33,std,2,1,True,0.0003645500000288848
34,std,1000000,0,False,47.57289725800001
35,std,35879,7,True,1.450337468999976
36,std,1000000,0,False,46.824580599
37,std,2,1,True,0.0005034430000137036
38,std,2,1,True,0.0003366220000202702
39,std,1000000,0,False,56.27468088399996
40,std,2,1,True,0.0006604330000072878
41,std,8,7,True,0.0027885800000149175
42,std,8,7,True,0.002522070999987136
43,std,109018,6,True,4.333167040000035
44,std,2,1,True,0.00034589899996717577
45,std,2,1,True,5.451499998798681e-05
46,std,1000000,0,False,47.30097561499997
47,std,298927,4,True,12.664199840000038
48,std,992090,3,True,50.131885000999944
49,std,1000000,0,False,53.176218456000015
50,std,5,3,True,0.0015341069999976753
51,std,3,2,True,0.0008457100000214268
52,std,1000000,0,False,46.20185638099997
53,std,3,2,True,0.0008128299999725641
54,std,193195,7,True,11.689014110000016
55,std,2,1,True,0.0004956909999691561
56,std,152373,8,True,7.441018655999983
57,std,2,1,True,0.00045174599995334574
58,std,68986,3,True,2.9573419839999815
59,std,3,2,True,0.0006694030000744533
60,std,590041,5,True,30.209086656000068
61,std,250621,6,True,13.705674367000029
62,std,2,1,True,0.00044554999999490974
63,std,3,2,True,0.000955234000002747
64,std,1000000,0,False,45.88616702499996
65,std,2,1,True,0.0006436900000608148
66,std,2,1,True,0.0003698299999541632
67,std,1000000,0,False,51.352508134999994
68,std,2,1,True,0.0004224310000608966
69,std,27,6,True,0.00890929500008042
70,std,1000000,0,False,44.414517632999946
71,std,3,2,True,0.00073703900000055
72,std,2,1,True,0.0004273580000244692
73,std,2,1,True,0.0005393650000087291
74,std,2,1,True,0.0003382700000429395
75,std,1000000,0,False,48.208057358999895
76,std,1000000,0,False,46.158477962000006
77,std,2,1,True,0.0013393870000300012
78,std,3,2,True,0.0007252789999938614
79,std,2,1,True,0.0005138910000823671
80,std,2,1,True,0.0005295229999546791
81,std,4,3,True,0.001128468000047178
82,std,2,1,True,0.0003735829999413909
83,std,12614,7,True,0.4897328769999376
84,std,3,2,True,0.0007935239999596888
85,std,2,1,True,0.00032169300004625256
86,std,4,3,True,0.0010436640000079933
87,std,5,4,True,0.001216235000015331
88,std,2,1,True,0.0003245899999910762
89,std,5,4,True,0.0010877209999762272
90,std,4,3,True,0.007095133000007081
91,std,438263,5,True,21.248059408000017
92,std,2,1,True,0.0005909149999752117
93,std,10,3,True,0.00275999200005117
94,std,2,1,True,0.0003547369999523653
95,std,406879,7,True,21.425847061000013
96,std,1000000,0,False,43.9328205459999
97,std,3,2,True,0.00073267300012958
98,std,3,2,True,0.001058177999993859
99,std,7,4,True,0.001786442000138777
100,std,2,1,True,0.0005609449999610661
