goal	rule	score
p2(X3, X0)	p2(a22, a35)	1
p2(X4, X0)	p2(a72, a61)	1
p2(X8, X0)	p2(a38, a30)	1
p5(X0, X1)	p5(a10, a15)	1
p2(X6, X0)	p2(a66, a20)	1
p2(X4, X0)	p2(a92, a0)	1
p9(X0)	p9(a26)	1
p2(X5, X0)	p2(a66, a20)	1
p2(X0, X1)	p2(a18, a56)	1
p5(X1, X0)	p5(a10, a57)	1
p4(X9, a96, X4, a38)	p4(a42, a96, X7, a38) :- p5(X2, X2), p2(X7, X2)	1
p5(X0, X1)	p5(a44, a26)	1
p2(X0, X1)	p2(a66, a20)	1
p5(a14, X0)	p5(a14, a14)	1
p6(X0, a68, a88)	p6(a10, a68, a88)	1
p8(X1, X0)	p8(a31, a37)	1
p2(X6, X0)	p2(a1, a42)	1
p5(X1, X0)	p5(a27, a21)	1
p8(X0, X1)	p8(a17, a98)	1
p2(X5, X0)	p2(a1, a42)	1
p2(X1, X0)	p2(a66, a20)	1
p2(X3, X0)	p2(a10, a11)	1
p2(X0, X1)	p2(a80, a0)	1
p8(X0, X1)	p8(a80, a26)	1
p5(X0, X1)	p5(a82, a16)	1
p5(X1, X0)	p5(a11, a20)	1
p8(X0, X1)	p8(a28, a59)	1
p5(X1, X0)	p5(a33, a15)	1
p2(X7, a11)	p2(a2, a11)	1
p2(X1, X0)	p2(a76, a24)	1
p2(a24, X0)	p2(a24, a5)	1
p8(X1, X0)	p8(a19, a0)	1
p7(X0, X1)	p7(a50, a0)	1
p2(X1, X0)	p2(a18, a56)	1
p2(X8, X0)	p2(a10, a11)	1
p2(X4, X0)	p2(a66, a50)	1
p2(X6, X0)	p2(a36, a48)	1
p9(X1)	p9(a91)	1
p2(X6, X0)	p2(a38, a30)	1
p9(a16)	p9(a16)	1
p8(X1, X0)	p8(a30, a25)	1
p6(X0, X1, a10)	p6(a0, a35, a10)	1
p8(X1, X0)	p8(a0, a13)	1
p2(X5, X0)	p2(a95, a21)	1
p4(a42, a96, a10, X2)	p4(a42, a96, X7, a38) :- p5(X2, X2), p2(X7, X2)	1
p8(X0, X1)	p8(a69, a95)	1
p5(X0, X1)	p5(a11, a11)	1
p7(X1, X0)	p7(a61, a2)	1
p6(a34, X9, X8)	p6(a34, a12, a11) :- p7(X3, X0)	1
p7(X0, X1)	p7(a98, a20)	1
p2(X0, X1)	p2(a95, a21)	1
p5(X1, X0)	p5(a12, a16)	1
p2(X6, X0)	p2(a22, a35)	1
p8(X1, X0)	p8(a54, a99)	1
p3(a0, a18, a45, X6)	p3(a0, a18, a45, a19) :- p7(X9, X6)	1
